ticker,name_cn,date,close,turnover_rate
801010.SL,农林牧渔,2026-07-10,2348.25,10.2674
801010.SL,农林牧渔,2026-07-17,2365.95,10.6544
801010.SL,农林牧渔,2026-07-24,2312.71,9.8602
801010.SL,农林牧渔,2026-07-31,2416.22,8.3933
801010.SL,农林牧渔,2026-08-07,2417.75,10.2699
801010.SL,农林牧渔,2026-08-14,2418.49,10.5281
801010.SL,农林牧渔,2026-08-21,2449.68,20.8556
801010.SL,农林牧渔,2026-08-28,2607.87,18.0859
801030.SL,基础化工,2025-06-06,3472.09,8.9001
801030.SL,基础化工,2025-06-13,3471.86,12.6509
801030.SL,基础化工,2025-06-20,3385.44,11.6303
801030.SL,基础化工,2025-06-27,3490.59,12.9078
801030.SL,基础化工,2025-07-04,3518.55,13.4367
801030.SL,基础化工,2025-07-11,3572.47,12.5158
801030.SL,基础化工,2025-07-18,3635.87,11.307
801030.SL,基础化工,2025-07-25,3782.32,15.563
801030.SL,基础化工,2025-08-01,3727.14,12.5468
801030.SL,基础化工,2025-08-08,3814.15,10.8721
801030.SL,基础化工,2025-08-15,3908.04,13.002
801030.SL,基础化工,2025-08-22,4019.63,15.05
801030.SL,基础化工,2025-08-29,4064.3,15.7483
801030.SL,基础化工,2025-09-05,4009.06,13.8132
801030.SL,基础化工,2025-09-12,4103.52,13.3059
801030.SL,基础化工,2025-09-19,4048.88,13.017
801030.SL,基础化工,2025-09-26,4010.41,11.2067
801030.SL,基础化工,2025-09-30,4113.74,4.538
801030.SL,基础化工,2025-10-10,4195.72,5.5092
801030.SL,基础化工,2025-10-17,3951.07,11.4555
801030.SL,基础化工,2025-10-24,4035.46,9.8865
801030.SL,基础化工,2025-10-31,4136.19,11.9287
801030.SL,基础化工,2025-11-07,4282.5,13.5323
801030.SL,基础化工,2025-11-14,4394.29,18.1274
801030.SL,基础化工,2025-11-21,4065.9,15.7509
801030.SL,基础化工,2025-11-28,4187.02,11.5806
801030.SL,基础化工,2025-12-05,4192.59,10.7105
801030.SL,基础化工,2025-12-12,4100.57,10.0491
801030.SL,基础化工,2025-12-19,4206.2,9.7755
801030.SL,基础化工,2025-12-26,4384.22,10.912
801030.SL,基础化工,2025-12-31,4372.39,7.3541
801030.SL,基础化工,2026-01-09,4592.2,15.3977
801030.SL,基础化工,2026-01-16,4633.49,16.3813
801030.SL,基础化工,2026-01-23,4971.22,17.6049
801030.SL,基础化工,2026-01-30,4928.61,19.0257
801030.SL,基础化工,2026-02-06,4825.85,14.3565
801030.SL,基础化工,2026-02-13,4863.54,13.1176
801030.SL,基础化工,2026-02-27,5211.18,14.6371
801030.SL,基础化工,2026-03-06,5182.25,19.5824
801030.SL,基础化工,2026-03-13,5211.65,22.4317
801030.SL,基础化工,2026-03-20,4662.73,21.3022
801030.SL,基础化工,2026-03-27,4770.63,16.7368
801030.SL,基础化工,2026-04-03,4588.67,14.4792
801030.SL,基础化工,2026-04-10,4853.5,12.0658
801030.SL,基础化工,2026-04-17,4873.56,13.7275
801030.SL,基础化工,2026-04-24,4933.09,15.771
801030.SL,基础化工,2026-04-30,4989.33,12.8751
801030.SL,基础化工,2026-05-08,4978.21,9.7312
801030.SL,基础化工,2026-05-15,4905.61,15.6463
801030.SL,基础化工,2026-05-22,4831.79,14.5903
801030.SL,基础化工,2026-05-29,4544.02,13.9909
801030.SL,基础化工,2026-06-05,4578.8,12.7927
801030.SL,基础化工,2026-06-12,4647.95,15.4964
801030.SL,基础化工,2026-06-18,4736.86,13.4194
801030.SL,基础化工,2026-06-26,4783.76,18.2842
801030.SL,基础化工,2026-07-03,4755.7,17.2091
801030.SL,基础化工,2026-07-10,4364.87,13.8772
801030.SL,基础化工,2026-07-17,4040.48,12.8584
801030.SL,基础化工,2026-07-24,4029.0,13.6636
801030.SL,基础化工,2026-07-31,4113.11,12.1079
801030.SL,基础化工,2026-08-07,4391.41,12.1313
801030.SL,基础化工,2026-08-14,4336.7,11.9417
801030.SL,基础化工,2026-08-21,4332.46,12.4838
801030.SL,基础化工,2026-08-28,4479.62,12.6566
801040.SL,钢铁,2025-06-06,2119.39,2.7151
801040.SL,钢铁,2025-06-13,2120.22,3.9261
801040.SL,钢铁,2025-06-20,2076.84,3.268
801040.SL,钢铁,2025-06-27,2112.34,3.6166
801040.SL,钢铁,2025-07-04,2219.26,7.4289
801040.SL,钢铁,2025-07-11,2317.13,8.3968
801040.SL,钢铁,2025-07-18,2325.53,9.7857
801040.SL,钢铁,2025-07-25,2503.9,15.6294
801040.SL,钢铁,2025-08-01,2447.76,14.1993
801040.SL,钢铁,2025-08-08,2508.62,9.4473
801040.SL,钢铁,2025-08-15,2457.37,8.1293
801040.SL,钢铁,2025-08-22,2505.41,10.0648
801040.SL,钢铁,2025-08-29,2498.05,12.4276
801040.SL,钢铁,2025-09-05,2418.88,8.1529
801040.SL,钢铁,2025-09-12,2508.81,7.6494
801040.SL,钢铁,2025-09-19,2434.77,8.3791
801040.SL,钢铁,2025-09-26,2407.58,6.2173
801040.SL,钢铁,2025-09-30,2493.2,2.9793
801040.SL,钢铁,2025-10-10,2597.51,4.5821
801040.SL,钢铁,2025-10-17,2545.42,13.4107
801040.SL,钢铁,2025-10-24,2556.61,7.3042
801040.SL,钢铁,2025-10-31,2621.93,9.3986
801040.SL,钢铁,2025-11-07,2736.97,10.6786
801040.SL,钢铁,2025-11-14,2762.67,8.513
801040.SL,钢铁,2025-11-21,2569.78,7.6467
801040.SL,钢铁,2025-11-28,2605.6,5.2704
801040.SL,钢铁,2025-12-05,2616.64,5.2852
801040.SL,钢铁,2025-12-12,2540.98,5.1136
801040.SL,钢铁,2025-12-19,2594.15,5.4447
801040.SL,钢铁,2025-12-26,2677.84,5.371
801040.SL,钢铁,2025-12-31,2660.39,3.0426
801040.SL,钢铁,2026-01-09,2752.25,8.436
801040.SL,钢铁,2026-01-16,2699.79,10.4484
801040.SL,钢铁,2026-01-23,2897.11,10.7854
801040.SL,钢铁,2026-01-30,2848.46,13.3803
801040.SL,钢铁,2026-02-06,2753.17,8.4808
801040.SL,钢铁,2026-02-13,2791.43,8.4264
801040.SL,钢铁,2026-02-27,3133.97,12.7258
801040.SL,钢铁,2026-03-06,3022.79,13.1671
801040.SL,钢铁,2026-03-13,2972.26,10.5214
801040.SL,钢铁,2026-03-20,2666.44,10.8234
801040.SL,钢铁,2026-03-27,2677.57,7.8026
801040.SL,钢铁,2026-04-03,2625.11,6.6765
801040.SL,钢铁,2026-04-10,2717.95,5.9122
801040.SL,钢铁,2026-04-17,2758.63,7.593
801040.SL,钢铁,2026-04-24,2699.05,6.7015
801040.SL,钢铁,2026-04-30,2690.21,5.7266
801040.SL,钢铁,2026-05-08,2720.26,4.2814
801040.SL,钢铁,2026-05-15,2559.25,7.0868
801040.SL,钢铁,2026-05-22,2454.94,5.2941
801040.SL,钢铁,2026-05-29,2379.05,5.4421
801040.SL,钢铁,2026-06-05,2349.15,5.175
801040.SL,钢铁,2026-06-12,2335.32,5.9449
801040.SL,钢铁,2026-06-18,2295.3,5.0757
801040.SL,钢铁,2026-06-26,2151.97,6.9428
801040.SL,钢铁,2026-07-03,2197.78,6.2344
801040.SL,钢铁,2026-07-10,2107.21,5.1165
801040.SL,钢铁,2026-07-17,2101.23,5.4432
801040.SL,钢铁,2026-07-24,2128.46,5.457
801040.SL,钢铁,2026-07-31,2225.07,4.7595
801040.SL,钢铁,2026-08-07,2212.76,5.1685
801040.SL,钢铁,2026-08-14,2186.03,4.4964
801040.SL,钢铁,2026-08-21,2178.18,3.7867
801040.SL,钢铁,2026-08-28,2248.44,4.6759
801050.SL,有色金属,2025-06-06,4842.88,6.7834
801050.SL,有色金属,2025-06-13,5026.6,11.8999
801050.SL,有色金属,2025-06-20,4846.95,8.4705
801050.SL,有色金属,2025-06-27,5094.64,9.3349
801050.SL,有色金属,2025-07-04,5147.33,11.3167
801050.SL,有色金属,2025-07-11,5199.61,11.2129
801050.SL,有色金属,2025-07-18,5294.21,12.6627
801050.SL,有色金属,2025-07-25,5648.91,16.9821
801050.SL,有色金属,2025-08-01,5388.2,12.0979
801050.SL,有色金属,2025-08-08,5699.68,12.3295
801050.SL,有色金属,2025-08-15,5905.88,14.9167
801050.SL,有色金属,2025-08-22,5984.59,16.973
801050.SL,有色金属,2025-08-29,6413.26,20.0622
801050.SL,有色金属,2025-09-05,6548.93,20.052
801050.SL,有色金属,2025-09-12,6795.38,17.2063
801050.SL,有色金属,2025-09-19,6522.39,16.1209
801050.SL,有色金属,2025-09-26,6752.28,13.9476
801050.SL,有色金属,2025-09-30,7233.5,7.3333
801050.SL,有色金属,2025-10-10,7554.83,9.5063
801050.SL,有色金属,2025-10-17,7322.8,21.8142
801050.SL,有色金属,2025-10-24,7405.69,14.6466
801050.SL,有色金属,2025-10-31,7595.37,18.8393
801050.SL,有色金属,2025-11-07,7592.23,14.9129
801050.SL,有色金属,2025-11-14,7673.43,15.7635
801050.SL,有色金属,2025-11-21,7155.23,13.6375
801050.SL,有色金属,2025-11-28,7396.64,9.9306
801050.SL,有色金属,2025-12-05,7792.0,13.6709
801050.SL,有色金属,2025-12-12,7755.27,13.2254
801050.SL,有色金属,2025-12-19,7868.84,11.6185
801050.SL,有色金属,2025-12-26,8374.47,14.4269
801050.SL,有色金属,2025-12-31,8408.59,9.9401
801050.SL,有色金属,2026-01-09,9128.34,19.306
801050.SL,有色金属,2026-01-16,9404.84,21.5157
801050.SL,有色金属,2026-01-23,9972.0,20.1413
801050.SL,有色金属,2026-01-30,10308.42,30.9396
801050.SL,有色金属,2026-02-06,9431.31,20.1452
801050.SL,有色金属,2026-02-13,9591.61,13.8704
801050.SL,有色金属,2026-02-27,10528.63,14.5235
801050.SL,有色金属,2026-03-06,9953.12,19.7493
801050.SL,有色金属,2026-03-13,9585.63,13.7262
801050.SL,有色金属,2026-03-20,8452.57,13.3298
801050.SL,有色金属,2026-03-27,8687.44,13.748
801050.SL,有色金属,2026-04-03,8652.43,12.7768
801050.SL,有色金属,2026-04-10,9152.08,10.0145
801050.SL,有色金属,2026-04-17,9532.5,12.9739
801050.SL,有色金属,2026-04-24,9396.92,14.1825
801050.SL,有色金属,2026-04-30,9410.78,10.6099
801050.SL,有色金属,2026-05-08,9810.28,10.4249
801050.SL,有色金属,2026-05-15,9085.31,17.1345
801050.SL,有色金属,2026-05-22,9005.06,13.2253
801050.SL,有色金属,2026-05-29,8745.93,15.7838
801050.SL,有色金属,2026-06-05,8601.93,15.2899
801050.SL,有色金属,2026-06-12,8740.0,16.6144
801050.SL,有色金属,2026-06-18,9098.19,17.3835
801050.SL,有色金属,2026-06-26,8330.09,22.3456
801050.SL,有色金属,2026-07-03,8515.8,17.872
801050.SL,有色金属,2026-07-10,7863.15,15.0894
801050.SL,有色金属,2026-07-17,7265.41,13.4658
801050.SL,有色金属,2026-07-24,7620.54,15.6557
801050.SL,有色金属,2026-07-31,7852.16,11.5767
801050.SL,有色金属,2026-08-07,8711.72,14.9504
801050.SL,有色金属,2026-08-14,8389.01,15.5448
801050.SL,有色金属,2026-08-21,8599.14,13.0408
801050.SL,有色金属,2026-08-28,8743.68,15.389
