code,ticker_yf,futu_code,name_cn,name_en,ipo_date,offer_price_hkd,total_shares,sub_sector,is_ai_pharma,is_18a,no_offer,founding_year
2581.HK,2581.HK,HK.02581,明基医院,BENQ HOLDING,2025-12-22,9.34,311945001.0,医疗保健提供商与服务,False,False,False,2009
2661.HK,2661.HK,HK.02661,轻松健康,QINGSONG HEALTH,2025-12-23,22.68,214400158.0,医疗保健提供商与服务,False,False,False,2014
3378.HK,3378.HK,HK.03378,翰思艾泰-B,HANXBIO-B,2025-12-23,32.0,136218830.0,生物科技Ⅲ,False,True,False,2014
3696.HK,3696.HK,HK.03696,英矽智能,INSILICO,2025-12-30,24.05,582436846.0,生物科技Ⅲ,True,False,False,2018
2675.HK,2675.HK,HK.02675,精锋医疗-B,EDGE MEDICAL-B,2026-01-08,43.24,391880500.0,医疗保健设备与用品,False,True,False,2017
6938.HK,6938.HK,HK.06938,瑞博生物-B,RIBOLIFE,2026-01-09,57.97,170554910.00000003,生物科技Ⅲ,False,True,False,2007
2677.HK,2677.HK,HK.02677,卓正医疗,DISTINCT HEALTH,2026-02-06,59.9,64580450.0,医疗保健提供商与服务,False,False,False,2014
2526.HK,2526.HK,HK.02526,德适-B,DIAGENS-B,2026-03-30,99.0,88879200.0,生物科技Ⅲ,False,True,False,2016
2493.HK,2493.HK,HK.02493,迈威生物-B,MABWELL-B,2026-04-28,27.64,446730199.99999994,制药,False,True,False,2017
1609.HK,1609.HK,HK.01609,天星医疗,STAR SPORTS MED,2026-05-05,98.5,54831344.0,医疗保健设备与用品,False,False,False,2017
1187.HK,1187.HK,HK.01187,可孚医疗,COFOE MEDICAL,2026-05-06,39.33,235897000.0,医疗保健设备与用品,False,False,False,2009
7630.HK,7630.HK,HK.07630,英派药业-B,IMPACT THERAP-B,2026-05-13,20.1,282461530.0,生物科技Ⅲ,False,True,False,2009
7666.HK,7666.HK,HK.07666,剂泰科技-P,METIS TECHBIO-P,2026-05-13,10.5,1182697850.0,生物科技Ⅲ,True,True,False,2020
6872.HK,6872.HK,HK.06872,丹诺医药-B,TENNOR THERAP-B,2026-05-22,75.7,52328926.0,制药,False,True,False,2013
1779.HK,1779.HK,HK.01779,天辰生物-B,LONGBIO-B,2026-06-05,96.06,76322100.0,生物科技Ⅲ,False,True,False,2020
6132.HK,6132.HK,HK.06132,华健未来-B,HJ SCIENCE-B,2026-06-23,81.8,73599605.0,生物科技Ⅲ,False,True,False,2017
2335.HK,2335.HK,HK.02335,麦科医药-B,MICOT PHARMA-B,2026-06-24,18.2,331740350.00000006,生物科技Ⅲ,False,True,False,2007
9637.HK,9637.HK,HK.09637,礼邦医药-B,ALEBUND-B,2026-06-29,22.6,348365531.0,生物科技Ⅲ,False,True,False,2021
2697.HK,2697.HK,HK.02697,真健康医疗-B,TH MEDICAL-B,2026-06-30,126.2,35647003.0,医疗保健设备与用品,False,True,False,2018
6915.HK,6915.HK,HK.06915,江西生物,JIANGXI BIO,2026-06-30,11.2,308377319.0,生物科技Ⅲ,False,False,False,2002
2667.HK,2667.HK,HK.02667,同仁堂医养,TONGRENTANGCARE,2026-07-07,5.5,465362048.99999994,医疗保健提供商与服务,False,False,False,2015
