ticker,name_cn,date,close,turnover_rate
HSCIF.HK,金融,2026-01-23,5155.92,0.9944
HSCIF.HK,金融,2026-01-30,5429.39,1.4304
HSCIF.HK,金融,2026-02-06,5315.4,1.0774
HSCIF.HK,金融,2026-02-13,5297.01,0.8963
HSCIF.HK,金融,2026-02-27,5465.56,1.0453
HSCIF.HK,金融,2026-03-06,5227.14,1.3198
HSCIF.HK,金融,2026-03-13,4999.29,1.2241
HSCIF.HK,金融,2026-03-20,5088.5,1.1958
HSCIF.HK,金融,2026-03-27,5052.77,1.4217
HSCIF.HK,金融,2026-04-03,5195.64,1.1092
HSCIF.HK,金融,2026-04-10,5398.28,0.9782
HSCIF.HK,金融,2026-04-17,5387.56,1.0502
HSCIF.HK,金融,2026-04-24,5406.09,0.9244
HSCIF.HK,金融,2026-04-30,5414.72,1.0328
HSCIF.HK,金融,2026-05-08,5460.12,0.831
HSCIF.HK,金融,2026-05-15,5443.41,1.0028
HSCIF.HK,金融,2026-05-22,5444.94,1.0719
HSCIF.HK,金融,2026-05-29,5368.33,1.2987
HSCIF.HK,金融,2026-06-05,5263.85,0.9861
HSCIF.HK,金融,2026-06-12,5362.03,1.243
HSCIF.HK,金融,2026-06-18,5299.02,0.9898
HSCIF.HK,金融,2026-06-26,5130.8,1.4634
HSCIF.HK,金融,2026-07-03,5175.59,1.0932
HSCIF.HK,金融,2026-07-10,5262.6,0.9662
HSCIF.HK,金融,2026-07-17,5367.64,0.9293
HSCIF.HK,金融,2026-07-24,5579.52,0.925
HSCIF.HK,金融,2026-07-31,5780.91,1.129
HSCIF.HK,金融,2026-08-07,5552.06,0.9204
HSCIF.HK,金融,2026-08-14,5478.28,0.8282
HSCIF.HK,金融,2026-08-21,5664.84,0.8836
HSCIF.HK,金融,2026-08-28,5665.72,0.8492
HSCIIG.HK,工业,2025-06-06,1015.2,1.9654
HSCIIG.HK,工业,2025-06-13,1045.35,2.6386
HSCIIG.HK,工业,2025-06-20,1032.2,2.5068
HSCIIG.HK,工业,2025-06-27,1057.0,4.0702
HSCIIG.HK,工业,2025-07-04,1084.49,5.3183
HSCIIG.HK,工业,2025-07-11,1120.25,6.9521
HSCIIG.HK,工业,2025-07-18,1149.96,20.7027
HSCIIG.HK,工业,2025-07-25,1204.71,14.5669
HSCIIG.HK,工业,2025-08-01,1171.35,8.2966
HSCIIG.HK,工业,2025-08-08,1208.64,5.3214
HSCIIG.HK,工业,2025-08-15,1230.6,4.9223
HSCIIG.HK,工业,2025-08-22,1236.91,5.403
HSCIIG.HK,工业,2025-08-29,1218.76,6.5804
HSCIIG.HK,工业,2025-09-05,1218.55,11.6599
HSCIIG.HK,工业,2025-09-12,1237.62,7.3539
HSCIIG.HK,工业,2025-09-19,1251.03,6.5612
HSCIIG.HK,工业,2025-09-26,1234.52,6.2364
HSCIIG.HK,工业,2025-09-30,1283.6,2.9554
HSCIIG.HK,工业,2025-10-10,1260.76,3.4623
HSCIIG.HK,工业,2025-10-17,1225.92,7.532
HSCIIG.HK,工业,2025-10-24,1262.49,3.7751
HSCIIG.HK,工业,2025-10-31,1256.7,3.8505
HSCIIG.HK,工业,2025-11-07,1282.67,8.8404
HSCIIG.HK,工业,2025-11-14,1274.35,7.5152
